,timestamp,demand,grid1-load,grid1-loss,grid1-temp,grid2-load,grid2-loss,grid2_1-temp,grid2_2-temp,grid3-load,grid3-loss,grid3-temp,has incorrect data
12309,2019-04-27 21:00:00,202.8108250241,230.915,9.3772,287.45,138.107,8.67262,279.837158203125,283.956512451172,11.0515,1.00928,283.859832763672,False
12310,2019-04-27 22:00:00,188.2641020258,215.079,8.564210000000001,286.35,135.931,8.51626,278.9375,282.792022705078,10.6699,1.00797,283.092041015625,False
12311,2019-04-27 23:00:00,179.69029821549998,209.78400000000002,8.29689,285.25,133.352,8.3354,278.292724609375,281.550384521484,10.2114,1.00261,282.34429931640597,False
12312,2019-04-28 00:00:00,172.5658516064,204.451,8.03486,284.85,131.173,8.179910000000001,277.50732421875,280.5615234375,10.1894,1.0031299999999999,282.85052490234403,False
12313,2019-04-28 01:00:00,174.5724825375,201.15900000000002,7.88098,284.15,131.845,8.22947,276.71240234375,280.119354248047,10.0004,1.00082,282.137786865234,False
12314,2019-04-28 02:00:00,174.7477806952,201.5,7.88876,283.55,131.607,8.211960000000001,276.0751953125,279.61614990234403,9.7936,0.997576,281.163787841797,False
12315,2019-04-28 03:00:00,174.96503412619998,194.55599999999998,7.561710000000001,282.85,130.66299999999998,8.14725,275.463623046875,279.098052978516,8.3874,0.984549,280.418579101563,False
12316,2019-04-28 04:00:00,176.22380791860002,197.72799999999998,7.70898,283.95,131.759,8.211969999999999,275.0556640625,279.07373046875,8.9736,0.9888020000000001,280.007843017578,False
12317,2019-04-28 05:00:00,187.8920467249,205.778,8.06325,285.05,133.778,8.353010000000001,275.6259765625,280.007690429688,10.3067,1.00146,280.47381591796903,False
12318,2019-04-28 06:00:00,197.51618665240002,218.234,8.680010000000001,286.15,137.175,8.60823,277.72119140625,282.835052490234,10.6712,1.00568,282.857330322266,False
12319,2019-04-28 07:00:00,209.3863611768,239.429,9.76375,287.65,140.592,8.85212,279.80810546875,285.16314697265597,10.7623,1.0059799999999999,284.11309814453097,False
12320,2019-04-28 08:00:00,220.93847575419997,251.606,10.4366,289.05,141.861,8.94727,281.55029296875,286.70654296875,10.2063,1.0006700000000002,285.227294921875,False
